date,nfp,nfp_chg,nfp_init_chg,adp,adp_chg,claims,finalized
2003-05-01,130196,NA,-17,108645.878,NA,424,TRUE
2003-06-01,130194,-2,-30,108579.795,-66.08299999999872,421.75,TRUE
2003-07-01,130191,-3,-44,108588.369,8.5740000000078,411.5,TRUE
2003-08-01,130149,-42,-93,108624.907,36.538000000000466,400.2,TRUE
2003-09-01,130254,105,57,108787.597,162.68999999998778,395.5,TRUE
2003-10-01,130454,200,126,109018.969,231.37200000000303,382,TRUE
2003-11-01,130474,20,57,109039.933,20.964000000007218,363,TRUE
2003-12-01,130588,114,1,108975.968,-63.96500000001106,358.25,TRUE
2004-01-01,130769,181,112,109039.64,63.67200000000594,360.2,TRUE
2004-02-01,130825,56,21,109192.599,152.95900000000256,360.75,TRUE
2004-03-01,131142,317,308,109554,361.400999999998,342,TRUE
2004-04-01,131411,269,288,109750.095,196.09500000000116,348.25,TRUE
2004-05-01,131694,283,248,109990.672,240.57700000000477,336.2,TRUE
2004-06-01,131793,99,112,110051.686,61.013999999995576,349,TRUE
2004-07-01,131848,55,32,110110.262,58.57600000000093,343,TRUE
2004-08-01,131937,89,144,110134.751,24.489000000001397,340.75,TRUE
2004-09-01,132093,156,96,110245.149,110.39800000000105,337.25,TRUE
2004-10-01,132447,354,337,110665.937,420.78800000000047,334,TRUE
2004-11-01,132503,56,112,110929.635,263.6979999999894,328.75,TRUE
2004-12-01,132624,121,157,110973.086,43.45100000000093,325.25,TRUE
2005-01-01,132774,150,146,111079.449,106.36299999999756,343.4,TRUE
2005-02-01,133032,258,262,111225.132,145.68300000000454,311.75,TRUE
2005-03-01,133156,124,110,111416,190.8680000000022,332,TRUE
2005-04-01,133518,362,274,111635.569,219.56900000000314,323.2,TRUE
2005-05-01,133690,172,78,111863.295,227.7259999999951,327,TRUE
2005-06-01,133942,252,146,112044.229,180.93400000000838,325.75,TRUE
2005-07-01,134296,354,207,112259.355,215.1259999999893,324.4,TRUE
2005-08-01,134498,202,169,112492.579,233.22400000000198,315.75,TRUE
2005-09-01,134566,68,-35,112623.676,131.09700000000885,382.75,TRUE
2005-10-01,134655,89,56,112602.376,-21.30000000000291,352.2,TRUE
2005-11-01,134993,338,215,112857.843,255.46699999998964,317.25,TRUE
2005-12-01,135149,156,108,113230.954,373.1110000000044,316.4,TRUE
2006-01-01,135429,280,193,113618.87,387.91599999999744,295.75,TRUE
2006-02-01,135737,308,243,113983.326,364.4560000000056,290.75,TRUE
2006-03-01,136047,310,211,114144,160.67399999999907,301.75,TRUE
2006-04-01,136205,158,138,114310.692,166.69199999999546,303.6,TRUE
2006-05-01,136244,39,75,114423.343,112.65099999999802,332.75,TRUE
2006-06-01,136325,81,121,114729.711,306.3680000000022,305.5,TRUE
2006-07-01,136520,195,113,114962.066,232.35500000001048,318.8,TRUE
2006-08-01,136694,174,128,115181.688,219.62199999998847,314.25,TRUE
2006-09-01,136843,149,51,115241.749,60.06100000000151,316.2,TRUE
2006-10-01,136852,9,92,115314.595,72.846000000005,315.5,TRUE
2006-11-01,137063,211,132,115546.424,231.8289999999979,326.25,TRUE
2006-12-01,137249,186,167,115563.321,16.896999999997206,324,TRUE
2007-01-01,137477,228,111,115597.541,34.220000000001164,317.25,TRUE
2007-02-01,137558,81,97,115583.246,-14.294999999998254,322.75,TRUE
2007-03-01,137793,235,180,115644,60.754000000000815,309.4,TRUE
2007-04-01,137842,49,88,115728.098,84.09799999999814,320.25,TRUE
2007-05-01,137993,151,157,115784.473,56.375,304.25,TRUE
2007-06-01,138069,76,132,115788.655,4.1820000000006985,315.2,TRUE
2007-07-01,138038,-31,92,115781.836,-6.819000000003143,313.25,TRUE
2007-08-01,138015,-23,-4,115824.387,42.55100000000675,320,TRUE
2007-09-01,138095,80,110,115833.255,8.868000000002212,313.4,TRUE
2007-10-01,138174,79,166,115710.593,-122.66200000001118,328.25,TRUE
2007-11-01,138284,110,94,115679.321,-31.271999999997206,336,TRUE
2007-12-01,138392,108,18,115766.142,86.82100000001083,348.2,TRUE
2008-01-01,138403,11,-17,115863.468,97.32599999998638,338.75,TRUE
2008-02-01,138324,-79,-63,115857.906,-5.561999999990803,346.75,TRUE
2008-03-01,138275,-49,-80,115832,-25.906000000002678,363.4,TRUE
2008-04-01,138035,-240,-20,115480.784,-351.21600000000035,359.5,TRUE
2008-05-01,137858,-177,-49,115180.439,-300.34500000000116,366.8,TRUE
2008-06-01,137687,-171,-62,114823.976,-356.4630000000034,383.25,TRUE
2008-07-01,137491,-196,-51,114578.294,-245.6820000000007,398,TRUE
2008-08-01,137213,-278,-84,114202.876,-375.41799999999057,433,TRUE
2008-09-01,136753,-460,-159,113808.39,-394.4860000000044,464,TRUE
2008-10-01,136272,-481,-240,113327.781,-480.60899999999674,475.25,TRUE
2008-11-01,135545,-727,-533,112954.921,-372.8600000000006,519.8,TRUE
2008-12-01,134839,-706,-524,112273.431,-681.4900000000052,564,TRUE
2009-01-01,134055,-784,-598,111523.966,-749.4649999999965,572,TRUE
2009-02-01,133312,-743,-651,110673.269,-850.6970000000001,644,TRUE
2009-03-01,132512,-800,-663,109952,-721.2690000000002,659.25,TRUE
2009-04-01,131817,-695,-539,109482.247,-469.752999999997,627.75,TRUE
2009-05-01,131475,-342,-345,109252.909,-229.33800000000338,612,TRUE
2009-06-01,131008,-467,-467,108984.713,-268.1959999999963,598.25,TRUE
2009-07-01,130668,-340,-247,108773.656,-211.0570000000007,566.5,TRUE
2009-08-01,130485,-183,-216,108668.973,-104.68300000000454,559.2,TRUE
2009-09-01,130244,-241,-263,108498.508,-170.4649999999965,547.5,TRUE
2009-10-01,130045,-199,-190,108251.947,-246.5610000000015,525.4,TRUE
2009-11-01,130057,12,-11,108011.003,-240.94400000000314,494,TRUE
2009-12-01,129788,-269,-85,107734.028,-276.97499999999127,485.5,TRUE
2010-01-01,129790,2,-20,107595.105,-138.92300000000978,479.8,TRUE
2010-02-01,129698,-92,-36,107466.132,-128.97299999999814,485.75,TRUE
2010-03-01,129879,181,162,107361,-105.13199999999779,470.25,TRUE
2010-04-01,130110,231,290,107465.585,104.5850000000064,469,TRUE
2010-05-01,130650,540,431,107628.588,163.00299999999697,459.4,TRUE
2010-06-01,130511,-139,-125,107791.794,163.20599999999104,460.5,TRUE
2010-07-01,130427,-84,-131,107954.528,162.7340000000113,459.2,TRUE
2010-08-01,130422,-5,-54,108053.51,98.98199999998906,475,TRUE
2010-09-01,130357,-65,-95,108146.861,93.35100000000966,453.5,TRUE
2010-10-01,130625,268,151,108225.21,78.34900000000198,446.8,TRUE
2010-11-01,130750,125,39,108381.625,156.4149999999936,426.25,TRUE
2010-12-01,130822,72,103,108469.695,88.07000000000698,420.25,TRUE
2011-01-01,130841,19,36,108523.924,54.228999999992084,426.8,TRUE
2011-02-01,131053,212,192,108714.771,190.8469999999943,401.5,TRUE
2011-03-01,131288,235,216,109096,381.22900000000664,406,TRUE
2011-04-01,131602,314,244,109268.858,172.8579999999929,420.6,TRUE
2011-05-01,131703,101,54,109304.723,35.86500000000524,422.5,TRUE
2011-06-01,131939,236,18,109516.114,211.39100000000326,418.25,TRUE
2011-07-01,131999,60,117,109855.17,339.05599999999686,412.6,TRUE
2011-08-01,132125,126,0,110063.142,207.97200000000885,409.5,TRUE
2011-09-01,132358,233,103,110250.4,187.25799999998708,417.75,TRUE
2011-10-01,132562,204,80,110424.786,174.3859999999986,402.4,TRUE
2011-11-01,132694,132,120,110643.509,218.7230000000127,389.25,TRUE
2011-12-01,132896,202,200,110978.522,335.01299999999173,377,TRUE
2012-01-01,133250,354,243,111291.253,312.73099999999977,377.75,TRUE
2012-02-01,133512,262,227,111648.722,357.4689999999973,363.25,TRUE
2012-03-01,133752,240,120,111809,160.2780000000057,366.6,TRUE
2012-04-01,133834,82,115,111846.531,37.53100000000268,381.75,TRUE
2012-05-01,133934,100,69,112120.342,273.8110000000015,373.5,TRUE
2012-06-01,134007,73,80,112246.783,126.44099999999162,379.2,TRUE
2012-07-01,134159,152,163,112506.359,259.57600000000093,372.5,TRUE
2012-08-01,134331,172,96,112781.845,275.4860000000044,373.25,TRUE
2012-09-01,134518,187,114,112932.008,150.16300000000047,381.8,TRUE
2012-10-01,134677,159,171,113103.508,171.5,368.5,TRUE
2012-11-01,134833,156,146,113258.989,155.48099999999977,401.25,TRUE
2012-12-01,135072,239,155,113501.369,242.38000000000466,359,TRUE
2013-01-01,135263,191,157,113566.98,65.61099999998987,353,TRUE
2013-02-01,135541,278,236,113659.362,92.38199999999779,353,TRUE
2013-03-01,135680,139,88,113810,150.6380000000063,351.8,TRUE
2013-04-01,135871,191,165,113661.282,-148.71799999999348,347.25,TRUE
2013-05-01,136093,222,175,113763.438,102.15599999998813,347.75,TRUE
2013-06-01,136274,181,195,113973.174,209.73600000000442,344.6,TRUE
2013-07-01,136386,112,162,114228.02,254.846000000005,346,TRUE
2013-08-01,136628,242,169,114400.248,172.2280000000028,333.4,TRUE
2013-09-01,136815,187,148,114577.317,177.0689999999886,314,TRUE
2013-10-01,137040,225,204,114659.923,82.60599999999977,358.5,TRUE
2013-11-01,137304,264,203,114841.547,181.6240000000107,328.2,TRUE
2013-12-01,137373,69,74,115040.676,199.12900000000081,346,TRUE
2014-01-01,137548,175,113,115304.738,264.0619999999908,326.75,TRUE
2014-02-01,137714,166,175,115684.254,379.51600000000326,335.25,TRUE
2014-03-01,137968,254,192,116135,450.7459999999992,321,TRUE
2014-04-01,138293,325,288,116501.332,366.3319999999949,322.75,TRUE
2014-05-01,138511,218,217,116677.815,176.48300000000745,313.8,TRUE
2014-06-01,138837,326,288,116859.272,181.45699999999488,313.5,TRUE
2014-07-01,139069,232,209,116952.899,93.62700000000768,301.75,TRUE
2014-08-01,139257,188,142,117167.647,214.74799999999232,302,TRUE
2014-09-01,139566,309,248,117468.489,300.8420000000042,295,TRUE
2014-10-01,139818,252,214,117649.144,180.65499999999884,288.75,TRUE
2014-11-01,140109,291,321,117867.203,218.05899999999383,291.6,TRUE
2014-12-01,140377,268,252,118202.901,335.69800000000396,284.5,TRUE
2015-01-01,140568,191,257,118470.121,267.22000000000116,287.6,TRUE
2015-02-01,140839,271,295,118697.89,227.76900000000023,301.25,TRUE
2015-03-01,140910,71,126,118940,242.11000000000058,284,TRUE
2015-04-01,141194,284,223,119251.331,311.3310000000056,286,TRUE
2015-05-01,141525,331,280,119482.735,231.403999999995,274,TRUE
2015-06-01,141699,174,223,119602.57,119.8350000000064,273.75,TRUE
2015-07-01,142001,302,215,119702.992,100.42199999999139,277.75,TRUE
2015-08-01,142126,125,173,119826.887,123.89500000000407,275.2,TRUE
2015-09-01,142281,155,142,120030.182,203.29499999999825,269.5,TRUE
2015-10-01,142587,306,271,120183.377,153.19499999999243,267,TRUE
2015-11-01,142824,237,211,120315.198,131.82100000001083,268.5,TRUE
2015-12-01,143097,273,292,120638.783,323.58499999999185,271,TRUE
2016-01-01,143205,108,151,120881.959,243.17600000000675,279.6,TRUE
2016-02-01,143417,212,242,121156.056,274.0969999999943,266.75,TRUE
2016-03-01,143654,237,215,121476,319.94400000000314,263.25,TRUE
2016-04-01,143851,197,160,121581.913,105.91300000000047,266,TRUE
2016-05-01,143892,41,38,121610.232,28.319000000003143,274.5,TRUE
2016-06-01,144150,258,287,121962.099,351.86699999999837,265.25,TRUE
2016-07-01,144521,371,255,122069.281,107.1820000000007,259.4,TRUE
2016-08-01,144664,143,151,122176.503,107.2219999999943,263.5,TRUE
2016-09-01,144953,289,156,122464.689,288.1860000000015,251.5,TRUE
2016-10-01,145071,118,161,122577.815,113.12600000000384,255.8,TRUE
2016-11-01,145201,130,178,122960.66,382.84500000000116,245.75,TRUE
2016-12-01,145415,214,156,123108.427,147.76699999999255,252.2,TRUE
2017-01-01,145612,197,227,123233.912,125.48500000000058,246.5,TRUE
2017-02-01,145795,183,235,123450.494,216.58200000000943,239.75,TRUE
2017-03-01,145934,139,98,123609,158.50599999999395,250.25,TRUE
2017-04-01,146154,220,211,123752.48,143.47999999999593,242,TRUE
2017-05-01,146295,141,138,123953.273,200.79300000000512,239.75,TRUE
2017-06-01,146506,211,222,124088.406,135.13300000000163,240.25,TRUE
2017-07-01,146734,228,209,124155.215,66.80899999999383,243.6,TRUE
2017-08-01,146924,190,156,124098.669,-56.546000000002095,239.75,TRUE
2017-09-01,146966,42,-33,124007.577,-91.09199999998964,269.4,TRUE
2017-10-01,147215,249,261,124598.526,590.9489999999932,236.25,TRUE
2017-11-01,147411,196,228,124931.568,333.0420000000013,238.5,TRUE
2017-12-01,147590,179,148,125169.881,238.31299999999464,235.8,TRUE
2018-01-01,147671,81,200,125346.437,176.5560000000114,234.25,TRUE
2018-02-01,148049,378,313,125674.267,327.83000000000175,221.5,TRUE
2018-03-01,148244,195,103,125841,166.7329999999929,225.6,TRUE
2018-04-01,148397,153,164,126102.265,261.2649999999994,222.5,TRUE
2018-05-01,148667,270,223,126306.269,204.00400000000081,221.25,TRUE
2018-06-01,148881,214,213,126443.638,137.36900000000605,221.6,TRUE
2018-07-01,149030,149,157,126634.615,190.97699999999895,219.75,TRUE
2018-08-01,149259,229,201,126794.662,160.04699999999139,214.5,TRUE
2018-09-01,149364,105,134,126893.385,98.72299999999814,211.8,TRUE
2018-10-01,149576,212,250,127154.379,260.99400000000605,214.75,TRUE
2018-11-01,149668,92,155,127260.328,105.94899999999325,220.75,TRUE
2018-12-01,149908,240,312,127404.055,143.72699999999895,217.6,TRUE
2019-01-01,150145,237,304,127491.09,87.03500000000349,220,TRUE
2019-02-01,150095,-50,20,127473.001,-18.088999999992666,226.5,TRUE
2019-03-01,150263,168,196,127739,265.99899999999616,217.8,TRUE
2019-04-01,150482,219,263,128011.392,272.3920000000071,215,TRUE
2019-05-01,150545,63,75,127957.43,-53.962000000014086,218,TRUE
2019-06-01,150720,175,224,128126.954,169.5240000000049,221.2,TRUE
2019-07-01,150913,193,164,128275.92,148.96600000000035,212,TRUE
2019-08-01,151108,195,130,128390.421,114.50100000000384,215.8,TRUE
2019-09-01,151329,221,136,128639.206,248.7850000000035,212.75,TRUE
2019-10-01,151524,195,128,128695.211,56.004999999990105,214.25,TRUE
